model	test	p_value	effect_size	num_targ1	num_targ2	num_attr1	num_attr2
roberta	seat_data/sent-weat6.jsonl	1e-05	1.098884604538695	64	64	101	112
roberta	seat_data/sent-weat6b.jsonl	0.00336	0.42678663662563876	80	80	101	112
roberta	seat_data/sent-weat7.jsonl	1e-05	0.8279427422740504	72	72	80	80
roberta	seat_data/sent-weat7b.jsonl	1e-05	1.191035601151304	72	72	64	64
roberta	seat_data/sent-weat8.jsonl	0.00396	0.4903739434580505	56	56	80	80
roberta	seat_data/sent-weat8b.jsonl	1e-05	1.065261494877346	56	56	64	64
